product,utc,incidence_deg,sun_elev_deg,emission_deg,phase_deg,sun_az_deg,az_source,center_lat,center_lon,download_url,covers_site
nac.m1360142117le,2020-11-16T05:00:50+00:00,93.6,-3.5999999999999943,1.7,93.88,6.793486838062294,proxy,-85.4909,39.1861,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0045C/DATA/ESM4/2020321/NAC/M1360142117LE.IMG,yes
nac.m1360156203re,2020-11-16T08:55:36+00:00,93.45,-3.450000000000003,1.14,93.17,8.780974014796438,proxy,-85.4925,39.594,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0045C/DATA/ESM4/2020321/NAC/M1360156203RE.IMG,yes
nac.m1217277386re,2016-05-07T16:21:59+00:00,92.56,-2.5600000000000023,1.13,91.44,9.060924741639758,proxy,-85.4037,23.0524,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0027/DATA/ESM2/2016128/NAC/M1217277386RE.IMG,yes
nac.m1186718974re,2015-05-19T23:55:07+00:00,92.1,-2.0999999999999943,1.12,90.99,17.371872400516693,proxy,-85.2341,27.8759,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0023/DATA/ESM2/2015139/NAC/M1186718974RE.IMG,yes
nac.m1467388615le,2024-04-10T11:42:29+00:00,92.24,-2.239999999999995,74.73,20.62,18.913429465077357,proxy,-85.0867,44.3002,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0059A/DATA/ESM5/2024101/NAC/M1467388615LE.IMG,yes
nac.m1214928318le,2016-04-10T11:50:51+00:00,91.35,-1.3499999999999943,1.67,92.87,37.61533853758781,proxy,-85.4153,24.8586,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0027/DATA/ESM2/2016101/NAC/M1214928318LE.IMG,yes
nac.m1332369859re,2019-12-30T18:29:52+00:00,90.98,-0.980000000000004,1.16,90.28,48.221383765664704,proxy,-84.8533,28.3335,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0042A/DATA/ESM4/2019364/NAC/M1332369859RE.IMG,yes
nac.m1184389316re,2015-04-23T00:47:29+00:00,90.61,-0.6099999999999994,1.13,89.56,48.6649718489238,proxy,-85.1713,26.1491,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0023/DATA/ESM2/2015113/NAC/M1184389316RE.IMG,yes
nac.m1184396414re,2015-04-23T02:45:47+00:00,90.68,-0.6800000000000068,1.13,89.63,49.66647575211282,proxy,-85.3068,23.828,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0023/DATA/ESM2/2015113/NAC/M1184396414RE.IMG,yes
nac.m1360508427re,2020-11-20T10:46:00+00:00,89.22,0.7800000000000011,1.15,88.87,58.478594583949565,proxy,-84.3869,42.0176,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0045C/DATA/ESM4/2020325/NAC/M1360508427RE.IMG,yes
nac.m1360522518re,2020-11-20T14:40:51+00:00,89.07,0.9300000000000068,1.15,88.71,60.466787243848835,proxy,-84.3013,41.3434,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0045C/DATA/ESM4/2020325/NAC/M1360522518RE.IMG,yes
nac.m1123240464le,2013-05-15T06:59:57+00:00,89.3,0.7000000000000028,1.68,90.81,60.76782419519841,proxy,-83.9737,33.1485,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0015/DATA/ESM/2013135/NAC/M1123240464LE.IMG,yes
nac.m1360536609le,2020-11-20T18:35:42+00:00,88.88,1.1200000000000045,1.7,89.3,62.4549799037481,proxy,-84.2749,41.3011,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0045C/DATA/ESM4/2020325/NAC/M1360536609LE.IMG,yes
nac.m192637356le,2012-05-26T02:08:09+00:00,89.66,0.3400000000000034,1.67,91.21,62.77231673189134,proxy,-84.8491,30.4887,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0011/DATA/SCI/2012147/NAC/M192637356LE.IMG,yes
nac.m116101632le,2009-12-22T06:12:46+00:00,89.01,0.9899999999999949,1.7,90.69,63.83947388286005,proxy,-86.0305,29.3948,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0001/DATA/MAP/2009356/NAC/M116101632LE.IMG,yes
nac.m1110539537le,2012-12-19T06:57:50+00:00,89.9,0.09999999999999432,1.68,91.58,68.70978464511929,proxy,-84.796,28.7963,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0014/DATA/ESM/2012354/NAC/M1110539537LE.IMG,yes
